latin	arabic_form	form_kind	source_url	date_read	fetch_sha256	domain	market	licence	cldr_key
Medumba	لغة الميدومبا	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/byv
Catalan	الكتالانية	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/ca
Caddo	الكادو	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/cad
Carib	الكاريبية	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/car
Cayuga	الكايوجية	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/cay
Atsam	الأتسام	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/cch
Chakma	تشاكما	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/ccp
Chechen	الشيشانية	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/ce
Cebuano	السيبيوانية	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/ceb
Chiga	تشيغا	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/cgg
Chamorro	التشامورو	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/ch
Chibcha	التشيبشا	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/chb
Chagatai	التشاجاتاي	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/chg
Chuukese	التشكيزية	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/chk
Mari	الماري	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/chm
Chinook Jargon	الشينوك جارجون	cldr-language	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-localenames-full/main/ar/languages.json	2026-09-20	469d4b540f4a50c127a88c5b1e2bceac289d3a54b01dc2fbb9375c60470adf62	languages	world	Unicode-3.0	localeDisplayNames/languages/chn
